,Jugador,POS,Equipo,Cotización,CG,AcG,PrG,CT,AcT,PrT,GT,GJ,GC,TL,GP,GV,GO,GR,GE,VF,VI,TA,TR,PE,PA,Fecha,Puntaje
3379,"Aguerre, Alan",ARQ,Ctral. Córdoba,$ 3.500.000,12,98,"8,17",15,115,"7,67",0,0,0,0,0,0,0,10,0,3,7,2,0,0,0,4,5
3380,"Bursich, Lautaro",ARQ,Ctral. Córdoba,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3381,"Zozaya, Juan Pablo",ARQ,Ctral. Córdoba,$ 700.000,,,,,,,,,,,,,,,,,,,,,,4,
3382,"Abascia, Lucas",DEF,Ctral. Córdoba,$ 2.900.000,10,71,"7,10",13,90,"6,92",1,1,0,0,0,0,0,,0,0,6,3,0,0,,4,6
3383,"Casermeiro, Yuri",DEF,Ctral. Córdoba,$ 800.000,1,8,"8,00",3,21,"7,00",0,0,0,0,0,0,0,,0,0,5,0,0,0,,4,
3384,"Cufré, Braian",DEF,Ctral. Córdoba,$ 2.000.000,10,65,"6,50",12,77,"6,42",0,0,0,0,0,0,0,,0,0,7,0,0,0,,4,8
3385,"Galván Vittar, Ignacio",DEF,Ctral. Córdoba,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3386,"Galván, Jonatan",DEF,Ctral. Córdoba,$ 1.800.000,12,85,"7,08",15,100,"6,67",1,1,0,0,0,0,0,,0,0,6,3,0,0,,4,5
3387,"Mansilla, Facundo",DEF,Ctral. Córdoba,$ 1.200.000,3,17,"5,67",4,24,"6,00",0,0,0,0,0,0,0,,0,0,4,1,0,0,,4,
3388,"Marchi, Leonardo",DEF,Ctral. Córdoba,$ 500.000,1,6,"6,00",1,6,"6,00",0,0,0,0,0,0,0,,0,0,1,1,0,0,,4,
3389,"Martínez, Fernando",DEF,Ctral. Córdoba,$ 800.000,5,47,"9,40",7,60,"8,57",1,1,0,0,0,1,0,,0,0,6,0,0,0,,4,
3390,"Moyano, Santiago",DEF,Ctral. Córdoba,$ 600.000,7,41,"5,86",8,46,"5,75",0,0,0,0,0,0,0,,0,0,5,3,0,0,,4,5
3391,"Pignani, Juan Pablo",DEF,Ctral. Córdoba,$ 800.000,6,34,"5,67",6,34,"5,67",0,0,0,0,0,0,0,,0,0,4,0,1,0,,4,
3392,"Pillud, Iván",DEF,Ctral. Córdoba,$ 2.000.000,3,20,"6,67",4,25,"6,25",0,0,0,0,0,0,0,,0,0,3,0,0,0,,4,
3393,"Trindade, Gonzalo",DEF,Ctral. Córdoba,$ 400.000,1,7,"7,00",2,12,"6,00",0,0,0,0,0,0,0,,0,0,1,0,0,0,,4,
3394,"Cristóforo, Sebastián",VOL,Ctral. Córdoba,$ 1.700.000,,,,1,6,"6,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3395,"Florentín, José",VOL,Ctral. Córdoba,$ 3.500.000,11,69,"6,27",13,79,"6,08",1,0,1,0,0,1,0,,0,0,,0,0,0,,4,5
3396,"Gómez, Iván",VOL,Ctral. Córdoba,$ 2.900.000,7,50,"7,14",9,60,"6,67",1,1,0,0,0,1,0,,0,1,,1,0,0,,4,
3397,"Heredia, Leonardo",VOL,Ctral. Córdoba,$ 2.700.000,12,72,"6,00",15,88,"5,87",0,0,0,0,0,0,0,,0,1,,0,0,0,,4,6
3398,"Juárez, Fernando",VOL,Ctral. Córdoba,$ 1.900.000,5,27,"5,40",7,36,"5,14",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,6
3399,"Vega, Cristian",VOL,Ctral. Córdoba,$ 1.600.000,,,,,,,,,,,,,,,,,,,,,,4,
3400,"Vera, Matías",VOL,Ctral. Córdoba,$ 1.000.000,11,52,"4,73",13,63,"4,85",0,0,0,0,0,0,0,,0,0,,3,0,0,,4,5
3401,"Alfonso, Franco",DEL,Ctral. Córdoba,$ 2.400.000,2,8,"4,00",3,12,"4,00",0,0,0,0,0,0,0,,0,0,,2,0,0,,4,5
3402,"Barrera, Diego",DEL,Ctral. Córdoba,$ 800.000,9,61,"6,78",9,61,"6,78",2,2,0,0,0,2,0,,0,0,,0,0,0,,4,5
3403,"Besozzi, Lucas",DEL,Ctral. Córdoba,$ 1.900.000,9,49,"5,44",12,76,"6,33",2,2,0,0,0,0,0,,0,1,,2,0,0,,4,5
3404,"Cabral, Favio",DEL,Ctral. Córdoba,$ 1.800.000,2,11,"5,50",3,17,"5,67",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3405,"Fúnez, Nazareno",DEL,Ctral. Córdoba,$ 900.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,2,0,0,,4,
3406,"Godoy, Matías",DEL,Ctral. Córdoba,$ 1.800.000,6,28,"4,67",7,37,"5,29",0,0,0,0,0,0,0,,0,1,,2,0,0,,4,5
3407,"Perelló, Matías",DEL,Ctral. Córdoba,$ 2.200.000,10,68,"6,80",13,89,"6,85",3,2,1,0,0,1,0,,0,1,,2,0,0,,4,5
3408,"Varaldo, Lucas",DEL,Ctral. Córdoba,$ 800.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3409,"Verón, Gastón",DEL,Ctral. Córdoba,$ 2.000.000,11,77,"7,00",13,96,"7,38",3,1,1,1,0,2,1,,0,1,,3,0,0,,4,12
3410,"Zalazar, David",DEL,Ctral. Córdoba,$ 600.000,2,11,"5,50",3,16,"5,33",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3411,Estadísticas totales de Central Córdoba:,,,$ 49.100.000,170,1092,"6,42",213,1356,"6,37",15,11,3,1,0,8,1,10,0,9,55,31,1,0,0,4,88
3412,"Bologna, Enrique",ARQ,Def. y Justicia,$ 2.500.000,12,61,"5,08",15,87,"5,80",0,0,0,0,0,0,0,17,0,2,4,0,0,0,0,4,9
3413,"Masuero, Facundo",ARQ,Def. y Justicia,$ 700.000,,,,,,,,,,,,,,,,,,,,,,4,
3414,"Reinatti, Josué",ARQ,Def. y Justicia,$ 400.000,,,,,,,,,,,,,,,,,,,,,,4,
3415,"Aguilera, Emanuel",DEF,Def. y Justicia,$ 2.000.000,2,11,"5,50",2,11,"5,50",0,0,0,0,0,0,0,,0,0,3,1,0,0,,4,7
3416,"Cannavó, Ezequiel",DEF,Def. y Justicia,$ 1.400.000,9,51,"5,67",12,71,"5,92",0,0,0,0,0,0,0,,0,0,5,1,0,0,,4,8
3417,"Delgado, Rafael",DEF,Def. y Justicia,$ 2.500.000,11,65,"5,91",14,91,"6,50",2,2,0,0,0,0,0,,1,0,3,0,1,0,,4,
3418,"Fernández, Damián",DEF,Def. y Justicia,$ 1.600.000,12,60,"5,00",15,80,"5,33",0,0,0,0,0,0,0,,1,0,4,2,0,0,,4,8
3419,"Ferreira, Lucas",DEF,Def. y Justicia,$ 800.000,11,56,"5,09",13,67,"5,15",0,0,0,0,0,0,0,,0,0,3,3,0,0,,4,8
3420,"Loza, Valentín",DEF,Def. y Justicia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3421,"Lucero, Samuel",DEF,Def. y Justicia,$ 500.000,1,4,"4,00",1,4,"4,00",0,0,0,0,0,0,0,,0,0,0,1,0,0,,4,
3422,"Pérez, Damián",DEF,Def. y Justicia,$ 2.000.000,,,,,,,,,,,,,,,,,,,,,,4,
3423,"Rubio, Tobías",DEF,Def. y Justicia,$ 900.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,,0,0,2,0,0,0,,4,
3424,"Soto, Alexis",DEF,Def. y Justicia,$ 3.400.000,11,62,"5,64",14,78,"5,57",0,0,0,0,0,0,0,,0,0,4,1,1,0,,4,8
3425,"Souto, Lucas",DEF,Def. y Justicia,$ 1.000.000,1,6,"6,00",2,11,"5,50",0,0,0,0,0,0,0,,0,0,2,1,0,0,,4,
3426,"Aguiar, Mateo",VOL,Def. y Justicia,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3427,"Barbona, David",VOL,Def. y Justicia,$ 2.900.000,6,28,"4,67",9,43,"4,78",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,5
3428,"González, Lucas",VOL,Def. y Justicia,$ 1.800.000,8,50,"6,25",8,50,"6,25",1,1,0,0,0,1,0,,0,0,,0,0,0,,4,
3429,"Gutiérrez, Kevin",VOL,Def. y Justicia,$ 4.000.000,11,63,"5,73",14,86,"6,14",0,0,0,0,0,0,0,,0,2,,2,0,0,,4,11
3430,"Miranda, Matías",VOL,Def. y Justicia,$ 1.000.000,3,12,"4,00",4,17,"4,25",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3431,"Molinas, Aarón",VOL,Def. y Justicia,$ 3.100.000,9,45,"5,00",12,61,"5,08",0,0,0,0,0,0,0,,0,0,,2,0,0,,4,6
3432,"Pérez, César",VOL,Def. y Justicia,$ 1.900.000,4,40,"10,00",7,63,"9,00",2,2,0,0,0,1,0,,0,2,,1,0,0,,4,6
3433,"Schamine, Benjamín",VOL,Def. y Justicia,$ 300.000,3,12,"4,00",3,12,"4,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3434,"Sosa, Santiago",VOL,Def. y Justicia,$ 1.400.000,2,7,"3,50",2,7,"3,50",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3435,"González, Francisco",DEL,Def. y Justicia,$ 1.500.000,,,,2,10,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3436,"Gutiérrez, Juan Manuel",DEL,Def. y Justicia,$ 700.000,10,64,"6,40",10,64,"6,40",1,0,1,0,0,0,0,,0,2,,0,0,0,,4,
3437,"Hausch, Agustín",DEL,Def. y Justicia,$ 800.000,7,33,"4,71",8,37,"4,63",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3438,"La Roza, Uriel",DEL,Def. y Justicia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3439,"Lobato, Lenny",DEL,Def. y Justicia,$ 1.600.000,7,35,"5,00",9,46,"5,11",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3440,"Miritello, Juan Bautista",DEL,Def. y Justicia,$ 2.000.000,9,61,"6,78",11,75,"6,82",4,3,1,0,0,1,0,,0,0,,2,0,0,,4,6
3441,"Noguera, Facundo",DEL,Def. y Justicia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3442,"Osorio, Abiel",DEL,Def. y Justicia,$ 1.800.000,11,76,"6,91",14,88,"6,29",4,0,2,0,2,0,2,,0,1,,3,1,1,,4,9
3443,"Sosa, Matías",DEL,Def. y Justicia,$ 700.000,,,,,,,,,,,,,,,,,,,,,,4,
3444,"Stefanelli, Nicolás",DEL,Def. y Justicia,$ 1.300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,5
3445,Estadísticas totales de Defensa y Justicia:,,,$ 47.700.000,163,916,"5,62",204,1173,"5,75",14,8,4,0,2,3,2,17,2,9,30,24,3,1,0,4,96
3446,"Arce, Ignacio",ARQ,Dep. Riestra,$ 2.500.000,12,83,"6,92",15,108,"7,20",0,0,0,0,0,0,0,11,0,2,7,1,0,0,0,4,5
3447,"Barceló, Jaime",ARQ,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3448,"Manganelli, Nahuel",ARQ,Dep. Riestra,$ 400.000,,,,,,,,,,,,,,,,,,,,,,4,
3449,"Rolón, Juan Carlos",ARQ,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3450,"Barbieri, Miguel Ángel",DEF,Dep. Riestra,$ 2.000.000,8,42,"5,25",9,55,"6,11",0,0,0,0,0,0,0,,0,1,5,4,0,0,,4,
3451,"Bracamonte, Mariano",DEF,Dep. Riestra,$ 500.000,1,7,"7,00",2,11,"5,50",0,0,0,0,0,0,0,,0,0,3,0,0,0,,4,
3452,"Caro Torres, Nicolás",DEF,Dep. Riestra,$ 1.000.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,4,5
3453,"Gallo, Rodrigo",DEF,Dep. Riestra,$ 600.000,3,15,"5,00",6,33,"5,50",0,0,0,0,0,0,0,,0,0,5,3,0,0,,4,4
3454,"Miño, Facundo",DEF,Dep. Riestra,$ 500.000,12,70,"5,83",15,88,"5,87",0,0,0,0,0,0,0,,0,0,7,4,0,0,,4,5
3455,"Montoya, Nehuén",DEF,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3456,"Murillo, Yeison",DEF,Dep. Riestra,$ 900.000,,,,,,,,,,,,,,,,,,,,,,4,
3457,"Paz, Cristian",DEF,Dep. Riestra,$ 600.000,12,84,"7,00",15,104,"6,93",1,1,0,0,0,0,0,,0,1,7,3,0,0,,4,3
3458,"Ramírez, Pedro",DEF,Dep. Riestra,$ 1.000.000,10,69,"6,90",12,83,"6,92",1,1,0,0,0,1,0,,0,0,7,1,1,0,,4,
3459,"Randazzo, Juan Cruz",DEF,Dep. Riestra,$ 600.000,4,22,"5,50",4,22,"5,50",0,0,0,0,0,0,0,,0,0,7,1,0,0,,4,5
3460,"Rodríguez, Justo",DEF,Dep. Riestra,$ 400.000,,,,,,,,,,,,,,,,,,,,,,4,
3461,"Sansotre, Nicolás",DEF,Dep. Riestra,$ 700.000,12,68,"5,67",15,87,"5,80",0,0,0,0,0,0,0,,0,0,7,3,0,0,,4,5
3462,"Sayavedra, Rodrigo",DEF,Dep. Riestra,$ 500.000,,,,1,2,"2,00",0,0,0,0,0,0,0,,0,0,1,1,0,0,,4,
3463,"Tovo, Eric",DEF,Dep. Riestra,$ 600.000,,,,,,,,,,,,,,,,,,,,,,4,
3464,"Fagúndez, Franco",VOL,Dep. Riestra,$ 500.000,,,,,,,,,,,,,,,,,,,,,,4,
3465,"Goitía, Jonatan",VOL,Dep. Riestra,$ 600.000,12,80,"6,67",15,93,"6,20",2,2,0,0,0,1,0,,0,1,,4,0,0,,4,5
3466,"Landriel, Leonardo",VOL,Dep. Riestra,$ 700.000,1,4,"4,00",3,14,"4,67",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,4
3467,"Monje, Pablo",VOL,Dep. Riestra,$ 1.000.000,10,60,"6,00",11,65,"5,91",0,0,0,0,0,0,0,,0,2,,2,0,0,,4,4
3468,"Muñoz, Ariel",VOL,Dep. Riestra,$ 400.000,,,,,,,,,,,,,,,,,,,,,,4,
3469,"Obredor, Gabriel",VOL,Dep. Riestra,$ 500.000,3,15,"5,00",5,33,"6,60",1,1,0,0,0,1,0,,0,0,,1,0,0,,4,
3470,"Ramírez, Mateo",VOL,Dep. Riestra,$ 500.000,5,23,"4,60",5,23,"4,60",0,0,0,0,0,0,0,,1,0,,2,0,0,,4,4
3471,"Alonso, Antony",DEL,Dep. Riestra,$ 1.000.000,11,71,"6,45",14,86,"6,14",2,1,1,0,0,1,0,,0,0,,0,0,0,,4,5
3472,"Benegas, Nicolás",DEL,Dep. Riestra,$ 2.000.000,5,23,"4,60",7,31,"4,43",1,1,0,0,0,0,0,,0,0,,3,0,0,,4,
3473,"Céliz, Milton",DEL,Dep. Riestra,$ 2.400.000,9,55,"6,11",12,74,"6,17",2,2,0,0,0,1,0,,0,1,,3,0,0,,4,4
3474,"Díaz, Alexander",DEL,Dep. Riestra,$ 1.000.000,12,79,"6,58",14,90,"6,43",2,2,0,0,0,1,0,,0,1,,3,0,0,,4,5
3475,"González, Ramón",DEL,Dep. Riestra,$ 1.000.000,,,,,,,0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3476,"Gugenheim, Carlos",DEL,Dep. Riestra,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3477,"Guille, Braian",DEL,Dep. Riestra,$ 1.200.000,,,,1,4,"4,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3478,"Herrera, Jonathan",DEL,Dep. Riestra,$ 2.900.000,12,85,"7,08",15,110,"7,33",6,4,0,0,2,1,0,,0,1,,1,0,0,,4,5
3479,"Martins, Juan Cruz",DEL,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3480,"Smarra, Mauro",DEL,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3481,"Stringa, Ángel",DEL,Dep. Riestra,$ 400.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3482,"Vera, Santiago",DEL,Dep. Riestra,$ 900.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3483,Estadísticas totales de Deportivo Riestra:,,,$ 31.600.000,155,960,"6,19",197,1221,"6,20",18,15,1,0,2,7,0,11,1,10,56,41,1,0,0,4,68
3484,"Borzone, Rodrigo",ARQ,Estudiantes,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3485,"Iacovich, Fabricio",ARQ,Estudiantes,$ 900.000,1,9,"9,00",1,9,"9,00",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,
3486,"Muslera, Fernando",ARQ,Estudiantes,$ 4.900.000,11,55,"5,00",14,77,"5,50",0,0,0,0,0,0,0,16,0,2,3,1,0,0,0,4,5
3487,"Arzamendia, Santiago",DEF,Estudiantes,$ 2.500.000,10,63,"6,30",13,80,"6,15",1,1,0,0,0,1,0,,0,0,4,3,0,0,,4,
3488,"Benedetti, Gastón",DEF,Estudiantes,$ 1.800.000,2,10,"5,00",4,19,"4,75",0,0,0,0,0,0,0,,0,0,4,1,1,0,,4,3
3489,"Desábato, Máximo",DEF,Estudiantes,$ 300.000,1,8,"8,00",1,8,"8,00",0,0,0,0,0,0,0,,0,0,1,0,0,0,,4,
3490,"Funes Mori, Ramiro",DEF,Estudiantes,$ 3.000.000,2,12,"6,00",3,14,"4,67",0,0,0,0,0,0,0,,0,0,1,1,0,0,,4,
3491,"Gómez, Román",DEF,Estudiantes,$ 300.000,12,80,"6,67",14,94,"6,71",1,1,0,0,0,1,0,,0,0,6,2,0,0,,4,4
3492,"González Pirez, Leandro",DEF,Estudiantes,$ 4.000.000,3,33,"11,00",6,49,"8,17",2,1,1,0,0,0,0,,1,0,2,1,0,0,,4,13
3493,"Magdaleno, Matías",DEF,Estudiantes,$ 300.000,1,7,"7,00",1,7,"7,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,4,
3494,"Meza, Eric",DEF,Estudiantes,$ 3.200.000,2,11,"5,50",4,17,"4,25",1,1,0,0,0,1,0,,0,0,3,3,0,0,,4,
3495,"Núñez, Santiago",DEF,Estudiantes,$ 1.800.000,8,51,"6,38",10,57,"5,70",1,0,1,0,0,0,0,,0,0,2,3,1,0,,4,
3496,"Pierani, Valente",DEF,Estudiantes,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3497,"Rodríguez, Facundo",DEF,Estudiantes,$ 1.400.000,11,54,"4,91",12,62,"5,17",0,0,0,0,0,0,0,,0,0,3,3,0,0,,4,6
3498,"Amondarain, Mikel",VOL,Estudiantes,$ 300.000,9,51,"5,67",9,51,"5,67",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,6
3499,"Ascacíbar, Santiago",VOL,Estudiantes,$ 6.400.000,11,57,"5,18",14,71,"5,07",0,0,0,0,0,0,0,,0,0,,4,0,0,,4,4
3500,"Castro, Alexis",VOL,Estudiantes,$ 4.000.000,7,35,"5,00",10,50,"5,00",1,0,1,0,0,0,0,,0,0,,1,1,0,,4,
3501,"Cornejo, Lucas",VOL,Estudiantes,$ 300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3502,"Farías, Facundo",VOL,Estudiantes,$ 5.200.000,8,40,"5,00",10,47,"4,70",0,0,0,0,0,0,0,,0,0,,4,0,0,,4,4
3503,"Medina, Cristian",VOL,Estudiantes,$ 5.700.000,10,57,"5,70",13,71,"5,46",0,0,0,0,0,0,0,,0,1,,3,0,0,,4,11
3504,"Neves, Gabriel",VOL,Estudiantes,$ 4.400.000,2,7,"3,50",2,7,"3,50",0,0,0,0,0,0,0,,0,0,,0,1,0,,4,
3505,"Palacios, Tiago",VOL,Estudiantes,$ 3.700.000,11,59,"5,36",14,71,"5,07",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,6
3506,"Piovi, Ezequiel",VOL,Estudiantes,$ 4.000.000,5,23,"4,60",6,27,"4,50",0,0,0,0,0,0,0,,0,0,,2,0,0,,4,
3507,"Sosa, José",VOL,Estudiantes,$ 2.800.000,5,25,"5,00",6,30,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,6
3508,"Suárez, Leonardo",VOL,Estudiantes,$ 3.100.000,1,4,"4,00",1,4,"4,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3509,"Alario, Lucas",DEL,Estudiantes,$ 5.200.000,4,20,"5,00",5,24,"4,80",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,5
3510,"Carrillo, Guido",DEL,Estudiantes,$ 5.000.000,9,54,"6,00",12,77,"6,42",3,3,0,0,0,1,0,,0,1,,1,1,0,,4,
3511,"Cetré, Edwuin",DEL,Estudiantes,$ 3.900.000,9,61,"6,78",12,88,"7,33",3,1,1,0,1,0,0,,0,2,,2,0,0,,4,6
3512,"Pérez, Fabricio",DEL,Estudiantes,$ 800.000,7,47,"6,71",7,47,"6,71",1,1,0,0,0,0,0,,0,1,,0,0,0,,4,10
3513,"Tobio Burgos, Joaquín",DEL,Estudiantes,$ 700.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3514,Estadísticas totales de Estudiantes:,,,$ 80.500.000,163,938,"5,75",205,1163,"5,67",14,9,4,0,1,4,0,16,1,7,30,36,5,0,0,4,89
3515,"Ingolotti, Luis",ARQ,Gimnasia,$ 1.800.000,,,,,,,,,,,,,,,,,,,,,,4,
3516,"Insfrán, Nelson",ARQ,Gimnasia,$ 1.100.000,12,78,"6,50",15,106,"7,07",0,0,0,0,0,0,0,16,0,3,6,1,0,0,2,4,3
3517,"Kadijevic, Julián",ARQ,Gimnasia,$ 400.000,,,,,,,,,,,,,,,,,,,,,,4,
3518,"Conti, Germán",DEF,Gimnasia,$ 2.000.000,5,27,"5,40",5,27,"5,40",0,0,0,0,0,0,0,,0,0,4,1,0,0,,4,5
3519,"Corbalán, Fabricio",DEF,Gimnasia,$ 300.000,4,16,"4,00",4,16,"4,00",0,0,0,0,0,0,0,,0,0,2,1,1,0,,4,
3520,"Cortazzo, Juan Cruz",DEF,Gimnasia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3521,"Giampaoli, Renzo",DEF,Gimnasia,$ 1.900.000,9,52,"5,78",12,70,"5,83",0,0,0,0,0,0,0,,0,1,5,4,0,0,,4,6
3522,"Martínez, Enzo",DEF,Gimnasia,$ 900.000,5,30,"6,00",5,30,"6,00",0,0,0,0,0,0,0,,0,0,3,1,0,0,,4,
3523,"Mastrángelo, Diego",DEF,Gimnasia,$ 500.000,,,,,,,,,,,,,,,,,,,,,,4,
3524,"Melluso, Matías",DEF,Gimnasia,$ 1.400.000,1,4,"4,00",1,4,"4,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,4,
3525,"Pintado, Juan",DEF,Gimnasia,$ 2.000.000,11,64,"5,82",14,83,"5,93",0,0,0,0,0,0,0,,0,0,6,2,0,0,,4,5
3526,"Silva Torrejón, Pedro",DEF,Gimnasia,$ 1.000.000,10,54,"5,40",13,73,"5,62",0,0,0,0,0,0,0,,0,0,7,3,0,0,,4,
3527,"Suso, Gastón",DEF,Gimnasia,$ 3.000.000,9,40,"4,44",12,73,"6,08",1,0,1,0,0,0,0,,0,1,5,5,0,0,,4,5
3528,"Villalba, Juan Manuel",DEF,Gimnasia,$ 400.000,2,12,"6,00",2,12,"6,00",0,0,0,0,0,0,0,,0,0,1,0,0,0,,4,8
3529,"Aguiar, Pablo",VOL,Gimnasia,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3530,"Barros Schelotto, Nicolás",VOL,Gimnasia,$ 300.000,3,15,"5,00",3,15,"5,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3531,"Castro, Lucas",VOL,Gimnasia,$ 3.500.000,4,18,"4,50",5,23,"4,60",0,0,0,0,0,0,0,,0,0,,2,0,0,,4,
3532,"Di Biasi, Facundo",VOL,Gimnasia,$ 300.000,1,5,"5,00",3,11,"3,67",0,0,0,0,0,0,0,,0,0,,2,0,0,,4,
3533,"Garayalde, Nicolás",VOL,Gimnasia,$ 1.500.000,6,24,"4,00",9,37,"4,11",0,0,0,0,0,0,0,,0,0,,5,0,0,,4,4
3534,"Mamut, Leandro",VOL,Gimnasia,$ 400.000,1,5,"5,00",3,16,"5,33",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3535,"Max, Augusto",VOL,Gimnasia,$ 1.000.000,8,41,"5,13",9,46,"5,11",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3536,"Pérez, Juan José",VOL,Gimnasia,$ 600.000,2,8,"4,00",2,8,"4,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3537,"Seoane, Mateo",VOL,Gimnasia,$ 800.000,7,35,"5,00",9,42,"4,67",0,0,0,0,0,0,0,,0,0,,2,0,0,,4,6
3538,"Villarreal, Santiago",VOL,Gimnasia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3539,"Yangali, Juan",VOL,Gimnasia,$ 600.000,3,13,"4,33",3,13,"4,33",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3540,"Briasco, Norberto",DEL,Gimnasia,$ 2.500.000,7,29,"4,14",9,39,"4,33",0,0,0,0,0,0,0,,0,0,,4,0,0,,4,4
3541,"De Asís, Jorge",DEL,Gimnasia,$ 300.000,,,,1,4,"4,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
3542,"Hurtado, Jan Carlos",DEL,Gimnasia,$ 1.500.000,4,19,"4,75",4,19,"4,75",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3543,"Lomónaco, Sebastián",DEL,Gimnasia,$ 1.300.000,3,13,"4,33",3,13,"4,33",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3544,"Mammini, Ivo",DEL,Gimnasia,$ 1.200.000,,,,1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3545,"Merlini, Bautista",DEL,Gimnasia,$ 2.500.000,11,61,"5,55",11,61,"5,55",1,1,0,0,0,0,0,,0,0,,2,0,0,,4,
3546,"Merlo, Jeremías",DEL,Gimnasia,$ 300.000,7,40,"5,71",10,55,"5,50",1,1,0,0,0,0,0,,0,0,,2,0,0,,4,4
3547,"Panaro, Manuel",DEL,Gimnasia,$ 300.000,11,69,"6,27",14,86,"6,14",1,1,0,0,0,1,0,,0,1,,1,0,0,,4,18
3548,"Piedrahita, Alejandro",DEL,Gimnasia,$ 1.000.000,6,37,"6,17",6,37,"6,17",0,0,0,0,0,0,0,,0,1,,1,0,0,,4,5
3549,"Primante, Santino",DEL,Gimnasia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,4,
3550,"Sosa, Alan",DEL,Gimnasia,$ 700.000,2,10,"5,00",5,27,"5,40",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3551,"Torres, Franco",DEL,Gimnasia,$ 500.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,4,
3552,"Torres, Marcelo",DEL,Gimnasia,$ 1.500.000,12,91,"7,58",13,96,"7,38",6,3,1,0,2,3,0,,0,0,,2,0,0,,4,11
3553,"Zalazar, Maximiliano",DEL,Gimnasia,$ 1.000.000,,,,2,10,"5,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,4,
