,Jugador,POS,Equipo,Cotización,CG,AcG,PrG,CT,AcT,PrT,GT,GJ,GC,TL,GP,GV,GO,GR,GE,VF,VI,TA,TR,PE,PA,Fecha,Puntaje
274,"Verón, Gastón",DEL,Ctral. Córdoba,$ 2.000.000,11,77,"7,00",13,96,"7,38",3,1,1,1,0,2,1,,0,1,,3,0,0,,1,4
275,"Zalazar, David",DEL,Ctral. Córdoba,$ 600.000,2,11,"5,50",3,16,"5,33",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
276,Estadísticas totales de Central Córdoba:,,,$ 49.100.000,170,1092,"6,42",213,1356,"6,37",15,11,3,1,0,8,1,10,0,9,55,31,1,0,0,1,80
277,"Bologna, Enrique",ARQ,Def. y Justicia,$ 2.500.000,12,61,"5,08",15,87,"5,80",0,0,0,0,0,0,0,17,0,2,4,0,0,0,0,1,14
278,"Masuero, Facundo",ARQ,Def. y Justicia,$ 700.000,,,,,,,,,,,,,,,,,,,,,,1,
279,"Reinatti, Josué",ARQ,Def. y Justicia,$ 400.000,,,,,,,,,,,,,,,,,,,,,,1,
280,"Aguilera, Emanuel",DEF,Def. y Justicia,$ 2.000.000,2,11,"5,50",2,11,"5,50",0,0,0,0,0,0,0,,0,0,3,1,0,0,,1,
281,"Cannavó, Ezequiel",DEF,Def. y Justicia,$ 1.400.000,9,51,"5,67",12,71,"5,92",0,0,0,0,0,0,0,,0,0,5,1,0,0,,1,7
282,"Delgado, Rafael",DEF,Def. y Justicia,$ 2.500.000,11,65,"5,91",14,91,"6,50",2,2,0,0,0,0,0,,1,0,3,0,1,0,,1,7
283,"Fernández, Damián",DEF,Def. y Justicia,$ 1.600.000,12,60,"5,00",15,80,"5,33",0,0,0,0,0,0,0,,1,0,4,2,0,0,,1,8
284,"Ferreira, Lucas",DEF,Def. y Justicia,$ 800.000,11,56,"5,09",13,67,"5,15",0,0,0,0,0,0,0,,0,0,3,3,0,0,,1,
285,"Loza, Valentín",DEF,Def. y Justicia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
286,"Lucero, Samuel",DEF,Def. y Justicia,$ 500.000,1,4,"4,00",1,4,"4,00",0,0,0,0,0,0,0,,0,0,0,1,0,0,,1,
287,"Pérez, Damián",DEF,Def. y Justicia,$ 2.000.000,,,,,,,,,,,,,,,,,,,,,,1,
288,"Rubio, Tobías",DEF,Def. y Justicia,$ 900.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,,0,0,2,0,0,0,,1,
289,"Soto, Alexis",DEF,Def. y Justicia,$ 3.400.000,11,62,"5,64",14,78,"5,57",0,0,0,0,0,0,0,,0,0,4,1,1,0,,1,4
290,"Souto, Lucas",DEF,Def. y Justicia,$ 1.000.000,1,6,"6,00",2,11,"5,50",0,0,0,0,0,0,0,,0,0,2,1,0,0,,1,
291,"Aguiar, Mateo",VOL,Def. y Justicia,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
292,"Barbona, David",VOL,Def. y Justicia,$ 2.900.000,6,28,"4,67",9,43,"4,78",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,5
293,"González, Lucas",VOL,Def. y Justicia,$ 1.800.000,8,50,"6,25",8,50,"6,25",1,1,0,0,0,1,0,,0,0,,0,0,0,,1,
294,"Gutiérrez, Kevin",VOL,Def. y Justicia,$ 4.000.000,11,63,"5,73",14,86,"6,14",0,0,0,0,0,0,0,,0,2,,2,0,0,,1,5
295,"Miranda, Matías",VOL,Def. y Justicia,$ 1.000.000,3,12,"4,00",4,17,"4,25",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,
296,"Molinas, Aarón",VOL,Def. y Justicia,$ 3.100.000,9,45,"5,00",12,61,"5,08",0,0,0,0,0,0,0,,0,0,,2,0,0,,1,5
297,"Pérez, César",VOL,Def. y Justicia,$ 1.900.000,4,40,"10,00",7,63,"9,00",2,2,0,0,0,1,0,,0,2,,1,0,0,,1,5
298,"Schamine, Benjamín",VOL,Def. y Justicia,$ 300.000,3,12,"4,00",3,12,"4,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,
299,"Sosa, Santiago",VOL,Def. y Justicia,$ 1.400.000,2,7,"3,50",2,7,"3,50",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,
